player names
Ravi Bishnoi
GC Smith
K Gowtham
LS Livingstone
KP Appanna
Y Venugopal Rao
Mashrafe Mortaza
AA Noffke
Jalaj S Saxena
JM Bairstow
Harmeet Singh
DT Patil
EJG Morgan
Shivam Mavi
DR Martyn
Shoaib Ahmed
Joginder Sharma
Rashid Khan
K Kartikeya
B Kumar
JDS Neesham
R Powell
Anmolpreet Singh
Vishnu Vinod
AP Tare
KA Jamieson
DPMD Jayawardene
VVS Laxman
SB Joshi
PN Mankad
RP Singh
Sandeep Sharma
UBT Chand
M Theekshana
LE Plunkett
AC Gilchrist
Ankit Sharma
CR Brathwaite
Avesh Khan
KK Ahmed
YBK Jaiswal
KK Nair
T Kohli
JDP Oram
M Kaif
R Parag
KS Sharma
HH Gibbs
SM Curran
AM Salvi
FY Fazal
UA Birla
PA Patel
MG Johnson
SE Marsh
DE Bollinger
SN Thakur
AS Roy
Pankaj Singh
RA Jadeja
Navdeep Saini
DS Kulkarni
R Bishnoi
LA Pomersbach
BJ Haddin
KS Bharat
B Laughlin
Imran Tahir
Parvez Rasool
MN van Wyk
J Syed Mohammad
SS Sarkar
SM Boland
MA Khote
KL Rahul
S Dhawan
SS Mundhe
NT Ellis
NS Naik
DP Vijaykumar
JW Hastings
D Padikkal
RA Bawa
